uuid,aantal,term,topconcept,aat_closeMatch
59f6c55a-46bb-0d24-e0b9-fbfafe653be9,26669,Voetbal,Activiteiten,http://vocab.getty.edu/aat/300222801
b1ad1a4b-c824-8c24-cc62-7acd21a12ea3,21995,"Opening, openingen, in gebruik name",Activiteiten,http://vocab.getty.edu/aat/300054769
d5cb1934-e6ac-63ce-582d-18d4a85be49d,15516,"Branden, brandweer",Activiteiten,http://vocab.getty.edu/aat/300068986
50043426-3351-e935-7b5e-dd780f536c2f,14765,Honkbal,Activiteiten,http://vocab.getty.edu/aat/300222760
c5763b1e-7e69-f9e9-fd5a-c3bcd2374481,14765,Honkbal,Activiteiten,http://vocab.getty.edu/aat/300222760
d0a4a70c-dd7e-c35b-b33c-e05cab9dba0f,11882,Reportage,Activiteiten,http://vocab.getty.edu/page/aat/300054229
53b424ad-2663-c8da-fb6e-004b8bd17fac,11794,"Koninklijke ontvangsten en Koninklijke bezoeken",Activiteiten,http://vocab.getty.edu/aat/300379045
f1aaef5e-375f-db86-07bd-dd43f5526b2e,11468,"Voetbal Haarlem",Activiteiten,http://vocab.getty.edu/aat/300222801
2ee608d7-1641-8ecf-aaf0-ece0374944c2,8931,Werkzaamheden,Activiteiten,http://vocab.getty.edu/page/aat/300054608
46308570-9fe4-06ad-6c7c-0a962497c1c5,7282,Hockey,Activiteiten,http://vocab.getty.edu/aat/300222795
ca8cab9c-90d7-2142-8031-e9725aa0eacc,6672,Toneel,Activiteiten,http://vocab.getty.edu/aat/300004751
f490b647-edbd-c995-f397-c09ea88d1d13,6202,Huwelijk,Activiteiten,http://vocab.getty.edu/aat/300055475
1aaf54c6-54b1-a8e0-6b33-7ad9a8e658fb,6188,Wielrennen,Activiteiten,
93ab1304-72d6-dbfe-d75f-a72beb16b05a,5898,"Jubileum, jubilea",Activiteiten,
bddc08ff-09bb-7115-07d9-c6aeb227733b,5532,Softbal,Activiteiten,
0a6565e5-5dc8-bf4c-dedb-a9e47e6c6858,5488,Tentoonstellingen,Activiteiten,http://vocab.getty.edu/aat/300054766
cc2f3ded-e357-116d-01ce-20d6228a8dc7,5409,"Visserij e.a., vishandelaren, vissen",Activiteiten,http://vocab.getty.edu/aat/300239470
729f19dd-ed0b-e608-c04d-7ad386244d97,5328,Feesten,Activiteiten,http://vocab.getty.edu/aat/300069614
7f08c13c-8f02-8659-5387-f8579d186202,5252,Turnen,Activiteiten,http://vocab.getty.edu/aat/300222782
196cfe0d-7e77-02a7-1d07-7af16699ab64,5208,Volleyball,Activiteiten,
aeb4145f-f768-4c86-bd17-da878a6876f4,5177,Demonstatie,Activiteiten,
33bbb72c-0517-c446-cbb0-ca321400d900,5136,Circus,Activiteiten,
ca607dee-3019-d09c-67a7-00fdbe60bd0a,5064,Koninginnedag,Activiteiten,
642512e1-f596-ffde-8a17-620ba5408dd8,4965,Cricket,Activiteiten,http://vocab.getty.edu/aat/300222761
c13a547b-276a-e28c-5833-7c1889774181,4848,Markt,Activiteiten,
3e9d3fb0-7a43-6d90-31c1-2fb256c68bce,4769,Recepties,Activiteiten,http://vocab.getty.edu/aat/300069622
5ebc0f8b-0522-079d-1459-4bdd56200b6d,4769,Recepties,Activiteiten,http://vocab.getty.edu/aat/300069622
36f39aa2-101f-3359-ad55-14ba0b4701e0,4714,Huldiging,Activiteiten,
63b8163d-6b66-0a35-d4db-4517b11577d7,4451,"Eerste paal",Activiteiten,
d4e24d2c-0928-7556-c03a-e7a00bcbe046,4451,"Eerste paal",Activiteiten,
583cdd94-c531-6b44-dc24-57c17711a34a,4228,Hoogovenschaaktoernooi,Activiteiten,
25c10690-73ea-5278-e5ac-f97419a9d873,3792,Prijsuitreiking,Activiteiten,
c1ca9a59-2e31-b1c4-fc84-70bea54f18a7,3642,"Festival, festiviteiten en manifestaties",Activiteiten,
5e3320e0-1dbe-9c37-e34b-83fee299dbe3,3614,Vergaderingen,Activiteiten,
8ebbc06c-25d9-5a62-ac2b-2b469ca6b69c,3524,"Sport en sportweek",Activiteiten,
5b58478f-7782-2791-6192-e782d0ab5fc5,3429,Muggeronde,Activiteiten,
5c02aca1-97ae-f17a-82e4-e04c5b9cfe52,3394,"Spelen en speelgoed",Activiteiten,
643f2814-0b43-f02a-7de4-ece8590867c3,3294,Handbal,Activiteiten,http://vocab.getty.edu/aat/300211517
60d7accc-3502-6842-ed15-f08f8d247e4e,3039,Carnaval,Activiteiten,http://vocab.getty.edu/aat/300069281
68597653-812e-f537-6414-f466408f5d44,2967,Wandelen,Activiteiten,http://vocab.getty.edu/aat/300248181
79b940b5-7884-0c38-5f3d-16b58da28155,2943,"Overhandiging en overdrachten",Activiteiten,
37b53929-1fbc-d908-527a-faf9f04d8994,2898,"Kerstmis en kerstbomen",Activiteiten,
647e514e-c80f-6506-aa33-d03649f516a9,2605,Bijeenkomsten,Activiteiten,http://vocab.getty.edu/aat/300054788
51e20874-f1e2-ddef-3992-9075b6445bff,2535,"IJs, ijsbaan, ijshockey",Activiteiten,
a89c895c-9e6c-dd80-2b4f-2d986027ed6f,2443,"Filmen, filmopnamen",Activiteiten,
065e42c3-29c6-5ca9-02d9-81fba36bd9ed,2424,"Ongelukken, botsingen, ongevallen",Activiteiten,
9716f421-b90f-02dc-08d0-96770855b673,2365,Onderscheidingen,Activiteiten,
8a2272ff-0afc-f10f-463a-5b2747480097,2354,Verkiezingen,Activiteiten,http://vocab.getty.edu/aat/300069260
6093787d-be5b-bb0e-49b7-08151607d8a5,2287,Dansen,Activiteiten,
7a4a8969-b64c-13da-326f-b279850cd1a8,2242,Uitreiking,Activiteiten,
ee01204e-9ff3-b1fc-51fb-fddd7af7a48c,2224,"Zang en zangkoren",Activiteiten,
47812f74-f74a-f908-ec18-e7ca7a181a12,2180,Zaalvoetbal,Activiteiten,
5990938a-2150-4d2b-3652-4943e77b0954,2174,Cabaret,Activiteiten,http://vocab.getty.edu/aat/300007099
602040a9-2ead-cb25-a0c4-1ecb67dc1b8c,2132,Optreden,Activiteiten,
f7297b1c-0ce4-63d2-57af-5c8a258ef633,2092,"Bloemencorso, bloemententoonstelling",Activiteiten,
9cacc476-ff1d-9cb3-83f2-54e1c22780d0,2085,"Sloop, slopen, sloperijen",Activiteiten,http://vocab.getty.edu/aat/300053087
