uuid,ordering,Trefwoord,Titel,Beschrijving,Trefwoord (en),Titel (en),Beschrijving (en),Afbeelding,spacer,Afbeelding url,Linked media-uuid,Linked media-name,Linked media-folder,Linked media-filesize,Linked media-mimetype,Record notes-uuid,Record notes-modified_by-uuid,Record notes-modified_by-username,Record notes-modified_by-displayname,Record notes-modified_by-email,Record notes-modified_by-active,Record notes-modified_by-admin,Record notes-modified_time,Record notes-veldnaam,Record notes-notes
0199e8d2-824a-b19a-be6a-5ee3beb624b5,,bos_park,Bos park,Foto's waarin een bos- en/of parklandschap / natuurgebied centraal staat,forest_park,Forest park,Picture taken in a forest or park,NL-HlmNHA_1478_4842.jpg,,https://images.memorix.nl/ranh/thumb/500x500/e6499640-e8ec-4855-b222-21e7d9d25e28.jpg,e6499640-e8ec-4855-b222-21e7d9d25e28,NL-HlmNHA_1478_4842,62730a48-682e-b290-69d7-b86d8c03669c,72452,image/jp2,,,,,,,,,,
020c70ac-8e33-8820-4f8f-e6965b48ee71,,sneeuwlandschap,Sneeuwlandschap,Foto's waarin een winters stad- of natuurlandschap met sneeuw centraal staat,snow_landscape,Snow landscape,Scenes set in snow,NL-HlmNHA_1478_20031K00_20.jpg,,https://images.memorix.nl/ranh/thumb/500x500/10309297-acd9-28eb-3486-43957c03b74b.jpg,10309297-acd9-28eb-3486-43957c03b74b,NL-HlmNHA_1478_20031K00_20,267d5c8d-7463-f76a-f30e-33ee9dc9ac5f,180194,image/jp2,,,,,,,,,,
0261181d-00de-fbd5-7889-882d29340de3,,optocht,Optocht,Foto's van een optocht met of zonder praalwagens,parade,Parade,parade with floats,NL-HlmNHA_1478_1778.jpg,,https://images.memorix.nl/ranh/thumb/500x500/01f25d2e-6917-868c-225f-4573a3153dd2.jpg,01f25d2e-6917-868c-225f-4573a3153dd2,NL-HlmNHA_1478_1778,c2d6d79c-dd87-c8e6-2a65-675eb3b295a2,74270,image/jp2,,,,,,,,,,
02f9b8eb-0589-ec17-0761-8169a98791f7,,brug,Brug,"Foto's waarin een brug centraal staat. Heeft mogelijk overeenkomsten met de labels 'straat', 'rivier', 'boot'",bridge,Bridge,Picture should feature a bridge as a central element. Overlap with street/canal/river/boat,NL-HlmNHA_1478_3571.jpg,,https://images.memorix.nl/ranh/thumb/500x500/5e6c2920-86f8-b82c-0273-2e84b2273f98.jpg,5e6c2920-86f8-b82c-0273-2e84b2273f98,NL-HlmNHA_1478_3571,97b4ed8b-7f4c-b242-24a4-2ae629db0606,74353,image/jp2,,,,,,,,,,
0359ab43-10b3-88a9-afd2-3ca368008430,,catwalk,Catwalk,Foto's van modellen op een catwalk,catwalk,Catwalk,Models on a catwalk,NL-HlmNHA_1478_10175_02_G,,https://images.memorix.nl/ranh/thumb/500x500/40547983-22a0-8d90-50d2-2846def54143.jpg,40547983-22a0-8d90-50d2-2846def54143,NL-HlmNHA_1478_10175_02_G,f424e5c3-fae4-76c9-a36a-e4ced61a4ba5,90789,image/jp2,,,,,,,,,,
04c8f727-f4be-4673-47ef-c6cb161bb0b3,,fietsende_mensen,Fietsende mensen,Foto's waarin fietsende mensen centraal staan / alledaags en/of recreatief fietsen. Sportieve fietsers op een racefiets krijgen het label 'wielrennen' ,cycling,Cycling,Features bicycles or people riding bicycles.,NL-HlmNHA_1478_4565.jpg,,https://images.memorix.nl/ranh/thumb/500x500/38e8a5e5-c984-d052-3abd-b02532ad798f.jpg,38e8a5e5-c984-d052-3abd-b02532ad798f,NL-HlmNHA_1478_4565,f19faa70-1003-499f-0417-901eb47b2324,39082,image/jp2,,,,,,,,,,
06511001-cfb1-2434-97ad-88a8bc6badb6,,duinen,Duinen,Foto's van een duinlandschap. Heeft mogelijk overeenkomsten met het label 'strand',dunes,Dunes,Photos of dunes.,NL-HlmNHA_1478_07363_G,,https://images.memorix.nl/ranh/thumb/500x500/336364f9-e0f3-c6c3-f77b-f951eb8e244f.jpg,336364f9-e0f3-c6c3-f77b-f951eb8e244f,NL-HlmNHA_1478_07363_G,02983a77-648f-c6e6-7555-839e66d965be,92035,image/jp2,,,,,,,,,,
0748aced-128a-a382-b7bc-62c853c16119,,kerk_binnen,Kerk binnen,Binnenkant  / interieur van een kerk ,church_indoor,Church indoor,a picture taken inside a church,NL-HlmNHA_1478_2374.jpg,,https://images.memorix.nl/ranh/thumb/500x500/cde005d4-ade5-f9d1-6242-76e6bab73f9a.jpg,cde005d4-ade5-f9d1-6242-76e6bab73f9a,NL-HlmNHA_1478_2374,a0160ae0-c326-89bd-b47b-0f7db3f319c3,67305,image/jp2,,,,,,,,,,
086db4c8-b874-7d48-1944-e81f0030d0d6,,opgraving,Opgraving,Foto's van een (archeologische) opgraving,excavation,Excavation,Picture of an excavation. ,NL-HlmNHA_1478_3232,,https://images.memorix.nl/ranh/thumb/500x500/ae279565-2f5b-c4dd-0396-7180d8e9afec.jpg,ae279565-2f5b-c4dd-0396-7180d8e9afec,NL-HlmNHA_1478_3232,ed4f9156-03fd-c6b0-a6e0-22ed7a3b3e19,38021,image/jp2,,,,,,,,,,
0988d5f4-bb6f-b657-7e61-630e9eeb5d04,,boten,Boten,Foto's waarin één of meerdere vaartuigen (boot / schip) centraal staan. Heeft mogelijk overeenkomsten met het label 'scheepswerf',boats,Boats,picture focusing on one or multiple boats,NL-HlmNHA_1478_3283.jpg,,https://images.memorix.nl/ranh/thumb/500x500/e186519b-f52b-da5a-3def-2dbdb4a36aa2.jpg,e186519b-f52b-da5a-3def-2dbdb4a36aa2,NL-HlmNHA_1478_3283,0ffbd58b-6d00-3598-789e-dcea278aef90,39525,image/jp2,,,,,,,,,,
